Date,above_20,above_60,above_120,above_200
2024-08-09,22.756410256410255,22.698072805139187,27.175080558539204,33.728448275862064
2024-08-12,28.0982905982906,24.946466809421842,29.96777658431794,35.3448275862069
2024-08-13,29.166666666666668,24.839400428265524,29.32330827067669,34.59051724137931
2024-08-14,34.93589743589743,26.98072805139186,31.47153598281418,35.883620689655174
2024-08-16,42.628205128205124,29.550321199143468,33.08270676691729,36.314655172413794
2024-08-19,41.13247863247863,29.014989293361886,32.43823845327605,35.991379310344826
2024-08-20,50.641025641025635,32.97644539614561,35.01611170784103,37.39224137931034
2024-08-21,55.23504273504274,33.08351177730193,34.656652360515025,37.28448275862069
2024-08-22,50.641025641025635,30.94218415417559,32.83261802575107,35.775862068965516
2024-08-23,51.06837606837607,31.47751605995717,33.90557939914164,36.422413793103445
2024-08-26,50.95948827292111,31.905781584582442,33.047210300429185,35.991379310344826
2024-08-27,53.5181236673774,32.76231263383298,32.93991416309013,36.74568965517241
2024-08-28,49.57356076759062,31.69164882226981,31.759656652360512,35.237068965517246
2024-08-29,45.41577825159915,29.657387580299787,31.008583690987123,33.4051724137931
2024-08-30,52.771855010660985,32.441113490364025,31.97424892703863,34.80603448275862
2024-09-02,52.23880597014925,31.156316916488226,30.150214592274676,33.83620689655172
2024-09-03,49.57356076759062,32.97644539614561,31.43776824034335,34.26724137931034
2024-09-04,28.14498933901919,23.87580299785867,25.0,29.41810344827586
2024-09-05,25.79957356076759,24.62526766595289,25.10729613733906,29.094827586206897
2024-09-06,18.976545842217483,20.985010706638114,23.068669527896997,26.83189655172414
2024-09-09,18.550106609808104,21.948608137044967,23.49785407725322,26.480086114101187
2024-09-10,19.402985074626866,21.413276231263385,23.390557939914164,27.125941872981702
2024-09-11,17.16417910447761,20.449678800856532,22.317596566523605,25.913978494623656
2024-09-12,23.773987206823026,24.089935760171304,24.892703862660944,28.279569892473116
2024-09-13,32.80085197018104,27.51605995717345,26.931330472103003,30.752688172043012
2024-09-19,38.871139510117146,30.620985010706637,28.96995708154507,31.397849462365592
2024-09-20,45.580404685835994,33.40471092077088,30.150214592274676,32.795698924731184
2024-09-23,47.284345047923324,33.29764453961456,29.721030042918457,31.505376344086024
2024-09-24,56.975505857295,36.61670235546038,31.330472103004293,33.655913978494624
2024-09-25,56.443024494142705,33.83297644539615,30.332261521972132,32.903225806451616
2024-09-26,68.15761448349308,40.42780748663102,33.654876741693464,35.80645161290323
2024-09-27,69.1160809371672,41.81818181818181,34.29796355841372,36.666666666666664
2024-09-30,57.82747603833865,35.401069518716575,30.439442658092176,33.33333333333333
2024-10-02,45.367412140575084,29.411764705882355,27.54555198285102,30.430107526881724
2024-10-04,47.390841320553776,29.946524064171122,27.116827438370844,31.182795698924732
2024-10-07,57.50798722044729,34.43850267379679,30.439442658092176,31.93548387096774
2024-10-08,53.567625133120345,33.2620320855615,28.938906752411576,31.182795698924732
2024-10-10,53.99361022364217,34.75935828877005,30.439442658092176,31.72043010752688
2024-10-11,52.928647497337586,34.72222222222222,28.938906752411576,31.61290322580645
2024-10-14,51.43769968051119,36.75213675213676,29.260450160771708,32.15053763440861
2024-10-15,50.58572949946751,38.35470085470086,30.653804930332264,32.795698924731184
2024-10-16,45.473908413205535,37.17948717948718,30.97534833869239,32.043010752688176
2024-10-17,41.32055378061768,37.5,30.332261521972132,31.93548387096774
2024-10-18,37.06070287539936,34.508547008547005,29.153269024651664,30.53763440860215
2024-10-21,37.167199148029816,36.64529914529914,29.36763129689175,31.72043010752688
2024-10-22,28.541001064962728,32.26495726495727,28.29581993569132,30.290010741138563
2024-10-23,28.328008519701807,33.86752136752137,28.510182207931408,28.678839957035446
2024-10-24,27.263045793397232,32.05128205128205,27.974276527331188,29.32330827067669
2024-10-25,24.38764643237487,31.08974358974359,27.009646302250808,27.926960257787325
2024-10-28,29.179978700745473,33.33333333333333,27.759914255091108,29.32330827067669
2024-10-29,30.425531914893618,34.7547974413646,28.081457663451232,29.430719656283564
2024-10-30,31.27659574468085,33.7953091684435,27.224008574490888,29.96777658431794
2024-10-31,34.361702127659576,35.501066098081026,26.473740621650588,29.430719656283564
2024-11-01,28.191489361702125,32.83582089552239,25.080385852090032,27.926960257787325
2024-11-04,37.87234042553192,37.10021321961621,27.301927194860813,29.430719656283564
2024-11-05,41.59574468085106,39.6588486140725,27.194860813704498,30.290010741138563
2024-11-06,40.1063829787234,37.846481876332625,29.014989293361886,29.96777658431794
2024-11-07,38.297872340425535,37.10021321961621,27.73019271948608,29.64554242749731
2024-11-08,38.297872340425535,36.034115138592746,27.194860813704498,29.108485499462944
2024-11-11,27.23404255319149,29.957356076759062,25.160599571734476,27.06766917293233
2024-11-12,19.25531914893617,22.388059701492537,22.376873661670235,23.8453276047261
2024-11-13,11.914893617021278,16.73773987206823,18.629550321199144,20.30075187969925
2024-11-14,15.53191489361702,18.86993603411514,18.41541755888651,21.697099892588614
2024-11-15,18.19148936170213,20.149253731343283,20.12847965738758,22.341568206229862
2024-11-18,22.872340425531913,22.577209797657083,21.092077087794433,23.523093447905477
2024-11-19,24.680851063829788,23.322683706070286,21.948608137044967,23.09344790547798
2024-11-20,27.76595744680851,23.429179978700745,22.698072805139187,23.8453276047261
2024-11-21,28.936170212765955,24.70713525026624,22.698072805139187,24.06015037593985
2024-11-22,33.61702127659574,25.98509052183174,23.447537473233403,24.2749731471536
2024-11-25,38.82978723404255,28.8604898828541,25.588865096359743,25.13426423200859
2024-11-26,42.340425531914896,30.138445154419596,25.910064239828696,25.671321160042964
2024-11-27,42.02127659574468,31.20340788072418,26.98072805139186,25.671321160042964
2024-11-28,47.02127659574468,32.9073482428115,26.445396145610278,26.100966702470462
2024-11-29,36.06382978723404,28.96698615548456,24.946466809421842,24.919441460794843
2024-12-02,30.21276595744681,25.98509052183174,22.269807280513916,22.986036519871107
2024-12-03,41.976620616365565,30.564430244941427,25.802997858672377,26.96025778732546
2024-12-04,33.36875664187035,27.05005324813631,24.73233404710921,24.06015037593985
2024-12-05,25.292242295430395,21.299254526091588,21.092077087794433,20.83780880773362
2024-12-06,21.572794899043572,20.873269435569757,19.914346895074946,20.0859291084855
2024-12-09,10.945802337938364,14.376996805111823,15.203426124197003,17.078410311493016
2024-12-10,23.16684378320935,20.340788072417464,20.8779443254818,21.482277121374864
2024-12-11,39.957492029755585,27.36954206602769,24.946466809421842,24.489795918367346
2024-12-12,48.14027630180659,31.416400425985092,27.194860813704498,26.638023630504833
2024-12-13,57.49202975557917,35.03727369542066,28.800856531049252,28.141783029001072
2024-12-16,59.4048884165781,34.611288604898824,28.693790149892934,27.497314715359828
2024-12-17,59.93623804463337,34.93077742279021,28.586723768736615,27.712137486573578
2024-12-18,65.35600425079703,37.167199148029816,30.299785867237688,28.141783029001072
2024-12-19,53.347502656748134,34.291799787007456,28.586723768736615,27.145922746781114
2024-12-20,43.03931987247609,29.925452609158683,26.231263383297645,25.643776824034337
2024-12-23,57.917109458023376,35.99574014909478,30.19271948608137,27.145922746781114
2024-12-24,57.279489904357064,35.212765957446805,30.053475935828878,27.360515021459225
2024-12-26,53.45377258235919,35.319148936170215,29.197860962566846,26.824034334763947
2024-12-27,28.662420382165603,24.04255319148936,21.283422459893046,21.566523605150216
2024-12-30,32.802547770700635,23.93617021276596,21.818181818181817,21.67381974248927
2025-01-02,35.56263269639066,25.53191489361702,22.994652406417114,21.244635193133046
2025-01-03,50.318471337579616,29.893617021276597,25.026737967914436,22.746781115879827
2025-01-06,57.85562632696391,34.78723404255319,26.844919786096256,23.819742489270386
2025-01-07,58.59872611464968,35.638297872340424,28.02139037433155,24.034334763948497
2025-01-08,58.067940552016985,36.59574468085106,29.059829059829063,24.570815450643778
2025-01-09,51.38004246284501,37.234042553191486,28.846153846153843,24.78540772532189
2025-01-10,54.45859872611465,40.0,29.700854700854702,25.0
2025-01-13,46.07218683651805,36.59574468085106,28.63247863247863,24.463519313304722
2025-01-14,48.30148619957537,39.57446808510638,30.128205128205128,24.892703862660944
2025-01-15,43.37221633085896,37.340425531914896,28.73931623931624,24.78540772532189
2025-01-16,50.05302226935313,41.27659574468085,30.448717948717945,25.858369098712448
